date,season,month,team,opponent,home_away,runs_for,runs_against,result,win,loss,draw,run_diff,stadium,game_id,source_url
2024-05-18,2024,5,삼성,한화,home,9,8,W,1,0,0,1,대구,20240518HHSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240518&gameId=20240518HHSS0
2024-05-18,2024,5,KIA,NC,away,7,2,W,1,0,0,5,창원,20240518HTNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240518&gameId=20240518HTNC0
2024-05-19,2024,5,삼성,한화,home,2,12,L,0,1,0,-10,대구,20240519HHSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240519&gameId=20240519HHSS0
2024-05-19,2024,5,KIA,NC,away,2,1,W,1,0,0,1,창원,20240519HTNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240519&gameId=20240519HTNC0
2024-05-21,2024,5,KIA,롯데,away,1,6,L,0,1,0,-5,사직,20240521HTLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240521&gameId=20240521HTLT0
2024-05-21,2024,5,삼성,KT,home,5,8,L,0,1,0,-3,대구,20240521KTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240521&gameId=20240521KTSS0
2024-05-22,2024,5,KIA,롯데,away,2,4,L,0,1,0,-2,사직,20240522HTLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240522&gameId=20240522HTLT0
2024-05-22,2024,5,삼성,KT,home,3,1,W,1,0,0,2,대구,20240522KTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240522&gameId=20240522KTSS0
2024-05-23,2024,5,KIA,롯데,away,6,10,L,0,1,0,-4,사직,20240523HTLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240523&gameId=20240523HTLT0
2024-05-23,2024,5,삼성,KT,home,2,9,L,0,1,0,-7,대구,20240523KTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240523&gameId=20240523KTSS0
2024-05-24,2024,5,KIA,두산,home,5,7,L,0,1,0,-2,광주,20240524OBHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240524&gameId=20240524OBHT0
2024-05-24,2024,5,삼성,롯데,away,11,5,W,1,0,0,6,사직,20240524SSLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240524&gameId=20240524SSLT0
2024-05-25,2024,5,KIA,두산,home,6,2,W,1,0,0,4,광주,20240525OBHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240525&gameId=20240525OBHT0
2024-05-25,2024,5,삼성,롯데,away,6,7,L,0,1,0,-1,사직,20240525SSLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240525&gameId=20240525SSLT0
2024-05-26,2024,5,KIA,두산,home,5,2,W,1,0,0,3,광주,20240526OBHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240526&gameId=20240526OBHT0
2024-05-26,2024,5,삼성,롯데,away,1,9,L,0,1,0,-8,사직,20240526SSLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240526&gameId=20240526SSLT0
2024-05-28,2024,5,KIA,NC,away,11,8,W,1,0,0,3,창원,20240528HTNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240528&gameId=20240528HTNC0
2024-05-28,2024,5,삼성,키움,home,3,4,L,0,1,0,-1,대구,20240528WOSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240528&gameId=20240528WOSS0
2024-05-29,2024,5,KIA,NC,away,6,3,W,1,0,0,3,창원,20240529HTNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240529&gameId=20240529HTNC0
2024-05-29,2024,5,삼성,키움,home,5,11,L,0,1,0,-6,대구,20240529WOSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240529&gameId=20240529WOSS0
2024-05-30,2024,5,KIA,NC,away,11,2,W,1,0,0,9,창원,20240530HTNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240530&gameId=20240530HTNC0
2024-05-30,2024,5,삼성,키움,home,4,2,W,1,0,0,2,대구,20240530WOSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240530&gameId=20240530WOSS0
2024-05-31,2024,5,삼성,한화,home,8,6,W,1,0,0,2,대구,20240531HHSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240531&gameId=20240531HHSS0
2024-05-31,2024,5,KIA,KT,home,5,8,L,0,1,0,-3,광주,20240531KTHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240531&gameId=20240531KTHT0
2024-06-01,2024,6,삼성,한화,home,6,4,W,1,0,0,2,대구,20240601HHSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240601&gameId=20240601HHSS0
2024-06-01,2024,6,KIA,KT,home,4,2,W,1,0,0,2,광주,20240601KTHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240601&gameId=20240601KTHT0
2024-06-02,2024,6,삼성,한화,home,1,0,W,1,0,0,1,대구,20240602HHSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240602&gameId=20240602HHSS0
2024-06-02,2024,6,KIA,KT,home,3,11,L,0,1,0,-8,광주,20240602KTHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240602&gameId=20240602KTHT0
2024-06-04,2024,6,KIA,롯데,home,0,6,L,0,1,0,-6,광주,20240604LTHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240604&gameId=20240604LTHT0
2024-06-04,2024,6,삼성,SSG,away,3,1,W,1,0,0,2,문학,20240604SSSK0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240604&gameId=20240604SSSK0
2024-06-05,2024,6,KIA,롯데,home,3,9,L,0,1,0,-6,광주,20240605LTHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240605&gameId=20240605LTHT0
2024-06-05,2024,6,삼성,SSG,away,3,7,L,0,1,0,-4,문학,20240605SSSK0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240605&gameId=20240605SSSK0
2024-06-06,2024,6,KIA,롯데,home,5,4,W,1,0,0,1,광주,20240606LTHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240606&gameId=20240606LTHT0
2024-06-06,2024,6,삼성,SSG,away,0,4,L,0,1,0,-4,문학,20240606SSSK0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240606&gameId=20240606SSSK0
