date,season,month,team,opponent,result,rolling_window_games,rolling_wins,rolling_losses,rolling_draws,rolling_win_rate
2023-04-19,2023,4,삼성,키움,W,10,5,5,0,0.500
2023-04-20,2023,4,삼성,키움,L,10,5,5,0,0.500
2023-04-21,2023,4,삼성,KIA,L,10,5,5,0,0.500
2023-04-22,2023,4,삼성,KIA,L,10,5,5,0,0.500
2023-04-23,2023,4,삼성,KIA,L,10,5,5,0,0.500
2023-04-26,2023,4,삼성,두산,W,10,5,5,0,0.500
2023-04-27,2023,4,삼성,두산,W,10,5,5,0,0.500
2023-04-28,2023,4,삼성,KT,W,10,6,4,0,0.600
2023-04-29,2023,4,삼성,KT,W,10,6,4,0,0.600
2023-04-30,2023,4,삼성,KT,W,10,6,4,0,0.600
2023-05-02,2023,5,삼성,키움,L,10,5,5,0,0.500
2023-05-03,2023,5,삼성,키움,L,10,5,5,0,0.500
2023-05-04,2023,5,삼성,키움,W,10,6,4,0,0.600
2023-05-09,2023,5,삼성,한화,W,10,7,3,0,0.700
2023-05-10,2023,5,삼성,한화,L,10,7,3,0,0.700
2023-05-11,2023,5,삼성,한화,L,10,6,4,0,0.600
2023-05-12,2023,5,삼성,LG,W,10,6,4,0,0.600
2023-05-13,2023,5,삼성,LG,L,10,5,5,0,0.500
2023-05-14,2023,5,삼성,LG,L,10,4,6,0,0.400
2023-05-16,2023,5,삼성,KIA,L,10,3,7,0,0.300
2023-05-17,2023,5,삼성,KIA,L,10,3,7,0,0.300
2023-05-19,2023,5,삼성,NC,W,10,4,6,0,0.400
2023-05-20,2023,5,삼성,NC,L,10,3,7,0,0.300
2023-05-21,2023,5,삼성,NC,W,10,3,7,0,0.300
2023-05-23,2023,5,삼성,두산,L,10,3,7,0,0.300
2023-05-24,2023,5,삼성,두산,W,10,4,6,0,0.400
2023-05-25,2023,5,삼성,두산,L,10,3,7,0,0.300
2023-05-26,2023,5,삼성,KT,L,10,3,7,0,0.300
2023-05-27,2023,5,삼성,KT,L,10,3,7,0,0.300
2023-05-28,2023,5,삼성,KT,W,10,4,6,0,0.400
2023-05-30,2023,5,삼성,SSG,L,10,4,6,0,0.400
2023-05-31,2023,5,삼성,SSG,W,10,4,6,0,0.400
2023-06-01,2023,6,삼성,SSG,L,10,4,6,0,0.400
2023-06-02,2023,6,삼성,한화,W,10,4,6,0,0.400
2023-06-03,2023,6,삼성,한화,W,10,5,5,0,0.500
2023-06-04,2023,6,삼성,한화,L,10,4,6,0,0.400
2023-06-06,2023,6,삼성,NC,W,10,5,5,0,0.500
2023-06-07,2023,6,삼성,NC,L,10,5,5,0,0.500
2023-06-08,2023,6,삼성,NC,L,10,5,5,0,0.500
2023-06-09,2023,6,삼성,롯데,L,10,4,6,0,0.400
2023-06-10,2023,6,삼성,롯데,W,10,5,5,0,0.500
2023-06-11,2023,6,삼성,롯데,W,10,5,5,0,0.500
2023-06-13,2023,6,삼성,LG,L,10,5,5,0,0.500
2023-06-14,2023,6,삼성,LG,L,10,4,6,0,0.400
2023-06-15,2023,6,삼성,LG,L,10,3,7,0,0.300
2023-06-16,2023,6,삼성,KT,L,10,3,7,0,0.300
2023-06-17,2023,6,삼성,KT,L,10,2,8,0,0.200
2023-06-18,2023,6,삼성,KT,W,10,3,7,0,0.300
2023-06-20,2023,6,삼성,키움,L,10,3,7,0,0.300
2023-06-21,2023,6,삼성,키움,L,10,3,7,0,0.300
2023-06-22,2023,6,삼성,키움,L,10,2,8,0,0.200
2023-06-23,2023,6,삼성,SSG,L,10,1,9,0,0.100
2023-06-24,2023,6,삼성,SSG,L,10,1,9,0,0.100
2023-06-25,2023,6,삼성,SSG,W,10,2,8,0,0.200
2023-06-27,2023,6,삼성,롯데,L,10,2,8,0,0.200
2023-06-28,2023,6,삼성,롯데,L,10,2,8,0,0.200
2023-06-30,2023,6,삼성,한화,L,10,2,8,0,0.200
2023-07-01,2023,7,삼성,한화,L,10,1,9,0,0.100
2023-07-02,2023,7,삼성,한화,W,10,2,8,0,0.200
2023-07-04,2023,7,삼성,두산,L,10,2,8,0,0.200
2023-07-05,2023,7,삼성,두산,L,10,2,8,0,0.200
2023-07-06,2023,7,삼성,두산,L,10,2,8,0,0.200
2023-07-08,2023,7,삼성,NC,W,10,3,7,0,0.300
2023-07-09,2023,7,삼성,NC,W,10,3,7,0,0.300
2023-07-12,2023,7,삼성,KIA,L,10,3,7,0,0.300
2023-07-13,2023,7,삼성,KIA,W,10,4,6,0,0.400
2023-07-21,2023,7,삼성,KT,L,10,4,6,0,0.400
2023-07-22,2023,7,삼성,KT,W,10,5,5,0,0.500
2023-07-23,2023,7,삼성,KT,L,10,4,6,0,0.400
2023-07-25,2023,7,삼성,SSG,W,10,5,5,0,0.500
2023-07-26,2023,7,삼성,SSG,L,10,5,5,0,0.500
2023-07-27,2023,7,삼성,SSG,W,10,6,4,0,0.600
2023-07-28,2023,7,삼성,키움,D,10,5,4,1,0.556
2023-07-29,2023,7,삼성,키움,W,10,5,4,1,0.556
2023-07-30,2023,7,삼성,키움,W,10,6,3,1,0.667
2023-08-01,2023,8,삼성,KIA,L,10,5,4,1,0.556
2023-08-02,2023,8,삼성,KIA,W,10,6,3,1,0.667
2023-08-03,2023,8,삼성,KIA,L,10,5,4,1,0.556
2023-08-04,2023,8,삼성,LG,W,10,6,3,1,0.667
2023-08-05,2023,8,삼성,LG,W,10,6,3,1,0.667
2023-08-06,2023,8,삼성,LG,L,10,6,3,1,0.667
2023-08-08,2023,8,삼성,두산,L,10,5,4,1,0.556
2023-08-09,2023,8,삼성,두산,W,10,6,4,0,0.600
2023-08-11,2023,8,삼성,SSG,W,10,6,4,0,0.600
2023-08-12,2023,8,삼성,SSG,L,10,5,5,0,0.500
2023-08-13,2023,8,삼성,SSG,L,10,5,5,0,0.500
2023-08-15,2023,8,삼성,LG,W,10,5,5,0,0.500
2023-08-16,2023,8,삼성,LG,L,10,5,5,0,0.500
2023-08-17,2023,8,삼성,LG,W,10,5,5,0,0.500
2023-08-18,2023,8,삼성,KIA,W,10,5,5,0,0.500
2023-08-19,2023,8,삼성,KIA,L,10,5,5,0,0.500
2023-08-20,2023,8,삼성,KIA,W,10,6,4,0,0.600
2023-08-22,2023,8,삼성,한화,W,10,6,4,0,0.600
2023-08-25,2023,8,삼성,키움,L,10,5,5,0,0.500
2023-08-26,2023,8,삼성,키움,W,10,6,4,0,0.600
2023-08-27,2023,8,삼성,키움,W,10,7,3,0,0.700
2023-08-31,2023,8,삼성,KT,L,10,6,4,0,0.600
2023-09-01,2023,9,삼성,NC,L,10,6,4,0,0.600
2023-09-02,2023,9,삼성,NC,L,10,5,5,0,0.500
2023-09-03,2023,9,삼성,NC,W,10,5,5,0,0.500
2023-09-05,2023,9,삼성,롯데,L,10,5,5,0,0.500
2023-09-06,2023,9,삼성,롯데,W,10,5,5,0,0.500
2023-09-07,2023,9,삼성,롯데,L,10,4,6,0,0.400
2023-09-08,2023,9,삼성,두산,L,10,4,6,0,0.400
2023-09-09,2023,9,삼성,두산,W,10,4,6,0,0.400
2023-09-09,2023,9,삼성,두산,L,10,3,7,0,0.300
2023-09-10,2023,9,삼성,두산,L,10,3,7,0,0.300
2023-09-12,2023,9,삼성,KIA,W,10,4,6,0,0.400
2023-09-14,2023,9,삼성,KT,W,10,5,5,0,0.500
